"Gene","mean","variance","variance.expected","variance.standardized"
"GNLY",6.53285714285714,1117.37731392643,61.5600116209769,18.0024004438917
"IGLC2",2.02771428571429,221.425639243866,12.1763859867977,17.4695534992493
"IGKC",4.79428571428571,686.099995917201,39.5199795467929,17.3608388411445
"PPBP",8.40457142857143,1759.79283419753,88.9866205981847,17.2918001277187
"S100A9",65.1285714285714,36983.689666435,2277.31347492334,16.2400521815208
"HBB",67.9017142857143,1429557.62280358,2443.67521252868,14.8698690617939
"HLA-DRA",16.0777142857143,3622.99538774345,237.059556092501,14.8266875153969
"HBA2",19.9134285714286,123233.960208304,330.707198446773,14.005572456101
"CST3",13.428,2581.03425435839,179.79401733527,13.3537611720991
"HBA1",11.0734285714286,39929.2523946434,134.236577213867,12.9391646986454
"HLA-DPB1",5.26885714285714,613.414691462866,45.1915299089973,11.1384072264902
"IGLC1",0.453428571428571,58.4176647205324,2.08719506839361,11.0268465620728
"GP1BB",3.51542857142857,294.169810476463,25.6058885566681,10.9190390401471
"IGHM",3.554,273.422919119748,25.9950942473477,10.51825073293
"HLA-DPA1",5.07342857142857,549.398150573634,42.823799408524,10.3204647669977
"S100A8",21.9348571428571,3970.4627457641,384.998857285142,10.3129208584208
"LYZ",31.8934285714286,7106.4862100192,699.881093119056,10.1538479605854
"CD74",16.8374285714286,2552.32480618953,254.613465564018,10.0243119527698
"HLA-DRB1",5.82171428571429,453.251428898053,52.1290747342395,8.66157297515791
"TUBB1",1.63428571428571,83.8147715673867,9.22774413204237,8.41099023289441
"PF4",2.72114285714286,166.362342220227,18.0386655789571,8.28998579901201
"PTCRA",0.575428571428571,22.6273469154452,2.71187008103415,8.25999203858561
"HLA-DQB1",2.00085714285714,97.6641890336015,11.9657040530206,7.99575696503191
"FCER1A",0.347428571428571,14.3668267668313,1.56234193334861,7.87451993848531
"HIST1H2AC",1.39657142857143,63.0344552321071,7.58575014283977,7.72008832805076
"C1QA",0.190285714285714,10.3896169517821,0.829080457114121,7.55467404618389
"NRGN",3.44057142857143,200.951883068632,24.8561511551016,7.44582717873204
"GNG11",1.98371428571429,88.4258564487813,11.8319558904137,7.3256694787766
"GZMB",1.39342857142857,55.5779505164741,7.56472545896931,7.28595760462904
"HLA-DQA1",1.16714285714286,45.9843445065939,6.09674761009552,7.1262080917565
"TSC22D1",0.856571428571429,40.9654183644306,4.24091717504704,6.92713650388877
"CLEC10A",0.283714285714286,8.71885444820969,1.25956960202913,6.81956178679388
"ACRBP",0.686285714285714,22.0718896011105,3.29812585651003,6.69225207326268
"RGS18",0.817142857142857,28.4369738292573,4.0171687702928,6.62060648477422
"GP9",0.896571428571429,29.2976732944106,4.47018090033244,6.53762878791335
"TMEM40",0.546,16.6217759359817,2.55919548276637,6.49492234880562
"ALAS2",0.142857142857143,9.40513616135222,0.616409021779641,6.36033789648055
"CAVIN2",1.44457142857143,50.3596018454252,7.90905295443532,6.22842362355538
"NKG7",8.82742857142857,569.986215163517,95.6860812278823,5.95683518281054
"C1QB",0.113428571428571,7.26606712121831,0.486503647121972,5.66905826588624
"G0S2",2.23828571428571,77.9832151226881,13.8763355719217,5.61987094636744
"FTL",87.8331428571429,20706.6963576533,3790.77769767578,5.46238740677116
"LYPD2",0.0945714285714286,3.4671897276773,0.404251290539297,5.43165807863387
"JCHAIN",0.299428571428571,7.085509819132,1.332986711685,5.31551421857413
"CD79A",1.72057142857143,50.5552211652309,9.84942576981102,5.13280899280293
"HBD",0.217714285714286,53.689083084963,0.954564104866508,5.10680164288283
"FCGR3A",0.664,15.6750111460417,3.17919605811276,4.93049527601224
"LST1",4.08828571428571,153.423755277018,31.5847719434167,4.85752297188886
"FCN1",6.65514285714286,304.637541419998,63.2379630974548,4.81732058558759
"PF4V1",0.672857142857143,15.5205548524068,3.22637773472348,4.7713275785328
"NEAT1",19.8905714285714,1549.80997109378,330.112520480893,4.69479306278986
"IGHD",0.692857142857143,15.5275282733842,3.33334003176285,4.65824912112924
"FGFBP2",1.20057142857143,28.9120316825215,6.30798466565252,4.58340234083795
"GZMH",2.16971428571429,60.8668733107418,13.3136679329259,4.57175840777975
"IGLC3",0.169428571428571,3.34167729555383,0.73477012591081,4.54792210204728
"HLA-DRB5",1.93771428571429,51.9246703956233,11.4758651488432,4.52468460740471
"VCAN",4.27371428571429,151.842178255012,33.6094824628863,4.51783744134368
"PLD4",0.274,5.70741183195198,1.21437823646234,4.48939689101062
"RUFY1",0.856857142857143,18.4742170416037,4.2425463874443,4.35451150193142
"KLRB1",2.924,84.9985092883682,19.8883734043212,4.27377883351187
"SPON2",0.509428571428571,9.92188878455069,2.37146428876966,4.18386599011291
"AIF1",7.02742857142857,285.376783897441,68.4461272242476,4.16936349024497
"S100A12",2.534,67.7744938553874,16.3845845156107,4.1364792491878
"CD1C",0.148285714285714,2.66305793492018,0.640512778763175,4.13628291464674
"CTSS",10.636,521.958920834522,126.344777762544,4.13122671215984
"SELENBP1",0.0465714285714286,1.20360356020087,0.195387828736948,4.10863657288177
"MS4A1",0.944571428571429,19.0057864696035,4.74862939635732,4.00237308141648
"S100B",0.414285714285714,7.55452578287674,1.89039167788881,3.99627541278305
"PTGDS",0.159428571428571,12.0751754378802,0.690067152135264,3.95597957233603
"IFI30",3.64742857142857,105.830502102642,26.9459344547725,3.92751278602988
"C2orf88",0.394857142857143,7.00437480096356,1.79392183630276,3.90450389711483
"SNCA",0.370285714285714,6.4578764544972,1.67342628623561,3.85907434800982
"CPVL",1.39142857142857,28.8310211080717,7.55135530110904,3.817992924242
